id,name,current_price,price_change_24h,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
bittensor,Bittensor,352.48,-18.22880520443374,-4.91735,371.9,342.43,757.6,30.83,01-08-25_14-13-00
pi-network,Pi Network,0.406366,-0.005931448859780364,-1.43863,0.416193,0.39989,2.99,0.39989,01-08-25_14-13-00
ethereum-classic,Ethereum Classic,20.21,-1.2104962999045057,-5.65128,21.58,19.98,167.09,0.615038,01-08-25_14-13-00
near,NEAR Protocol,2.49,-0.15882171868708772,-5.99341,2.69,2.45,20.44,0.526762,01-08-25_14-13-00
ondo-finance,Ondo,0.918304,-0.04616094735443721,-4.78617,0.979697,0.888872,2.14,0.082171,01-08-25_14-13-00
aptos,Aptos,4.3,-0.20765393240708363,-4.60553,4.52,4.23,19.92,3.08,01-08-25_14-13-00
okb,OKB,46.98,-0.8637131193715675,-1.8053,47.84,46.67,73.8,0.580608,01-08-25_14-13-00
internet-computer,Internet Computer,5.14,-0.2768038755586,-5.10758,5.5,5.07,700.65,2.87,01-08-25_14-13-00
jito-staked-sol,Jito Staked SOL,206.62,-10.8546243024239,-4.99111,218.82,203.64,339.52,0.57898,01-08-25_14-13-00
mantle,Mantle,0.721824,-0.03778317264811304,-4.97404,0.759995,0.716483,1.54,0.307978,01-08-25_14-13-00
blackrock-usd-institutional-digital-liquidity-fund,BlackRock USD Institutional Digital Liquidity Fund,1.0,0.0,0.0,1.0,1.0,1.0,1.0,01-08-25_14-13-00
kaspa,Kaspa,0.087462,-0.006544284458711511,-6.96153,0.094006,0.084322,0.207411,0.00017105,01-08-25_14-13-00
binance-peg-weth,Binance-Peg WETH,3668.6,-140.11040418978928,-3.67869,3809.28,3605.98,4098.26,1394.32,01-08-25_14-13-00
usd1-wlfi,USD1,0.999711,0.00046065,0.0461,1.0,0.99725,1.025,0.989703,01-08-25_14-13-00
pudgy-penguins,Pudgy Penguins,0.03429471,-0.002677034575774985,-7.24076,0.03723321,0.03268543,0.068447,0.00371517,01-08-25_14-13-00
algorand,Algorand,0.242843,-0.017001813565988122,-6.54305,0.259845,0.237794,3.56,0.087513,01-08-25_14-13-00
gatechain-token,Gate,17.07,-0.2708043892791743,-1.56201,17.41,16.75,25.94,0.25754,01-08-25_14-13-00
bonk,Bonk,2.624e-05,-1.98324866818e-06,-7.02664,2.835e-05,2.551e-05,5.825e-05,8.6142e-08,01-08-25_14-13-00
